

Compilador de cpiton version 69.0/parser1 --- Octubre de 2019 --- 
13/10/2019
Lexema                  Token
:v                    simbolo.dputok
num                    simbolo.numtok
b                    simbolo.ident
=                    simbolo.asignacion
3                    simbolo.numero
,                    simbolo.coma
a                    simbolo.ident
=                    simbolo.asignacion
4                    simbolo.numero
,                    simbolo.coma
t                    simbolo.ident
=                    simbolo.asignacion
0                    simbolo.numero
;                    simbolo.puntoycoma
num                    simbolo.numtok
y                    simbolo.ident
=                    simbolo.asignacion
4                    simbolo.numero
;                    simbolo.puntoycoma
num                    simbolo.numtok
u                    simbolo.ident
=                    simbolo.asignacion
1                    simbolo.numero
;                    simbolo.puntoycoma
num                    simbolo.numtok
c                    simbolo.ident
;                    simbolo.puntoycoma
si                    simbolo.sitok
(                    simbolo.parena
b                    simbolo.ident
>                    simbolo.myr
4                    simbolo.numero
)                    simbolo.parenc
{                    simbolo.llaveatok
para                    simbolo.paratok
c                    simbolo.ident
rango                    simbolo.rangotok
(                    simbolo.parena
t                    simbolo.ident
,                    simbolo.coma
y                    simbolo.ident
,                    simbolo.coma
u                    simbolo.ident
)                    simbolo.parenc
{                    simbolo.llaveatok
imp                    simbolo.imp

^ error falta una llave de cierre '}'
