

Compilador de cpiton version 69.0/parser1 --- Octubre de 2019 --- 
13/10/2019
Lexema                  Token
:v                  simbolo.dputok
num                  simbolo.numtok
b                  simbolo.ident
=                  simbolo.asignacion
3                  simbolo.numero
,                  simbolo.coma
a                  simbolo.ident
=                  simbolo.asignacion
4                  simbolo.numero
;                  simbolo.puntoycoma
num                  simbolo.numtok
t                  simbolo.ident
=                  simbolo.asignacion
91                  simbolo.numero
;                  simbolo.puntoycoma
num                  simbolo.numtok
y                  simbolo.ident
=                  simbolo.asignacion
4                  simbolo.numero
;                  simbolo.puntoycoma
num                  simbolo.numtok
u                  simbolo.ident
=                  simbolo.asignacion
1                  simbolo.numero
;                  simbolo.puntoycoma
num                  simbolo.numtok
c                  simbolo.ident
;                  simbolo.puntoycoma
dec                  simbolo.dectok
p                  simbolo.ident
=                  simbolo.asignacion
0.22                  simbolo.decimal
,                  simbolo.coma
papa                  simbolo.ident
=                  simbolo.asignacion
0.56                  simbolo.decimal
;                  simbolo.puntoycoma
si                  simbolo.sitok
(                  simbolo.parena
b                  simbolo.ident
>                  simbolo.myr
4                  simbolo.numero
)                  simbolo.parenc
{                  simbolo.llaveatok
para                  simbolo.paratok
c                  simbolo.ident
rango                  simbolo.rangotok
(                  simbolo.parena
t                  simbolo.ident
,                  simbolo.coma
y                  simbolo.ident
,                  simbolo.coma
u                  simbolo.ident
)                  simbolo.parenc
{                  simbolo.llaveatok
//                  simbolo.linecomment
a                  simbolo.ident
=                  simbolo.asignacion
5                  simbolo.numero
;                  simbolo.puntoycoma
}                  simbolo.llavectok
}                  simbolo.llavectok
>:v                  simbolo.mdputok
